"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""POST /RightsWeb/myrights/rest/getNewCardBranch?cd=1769567982182 HTTP/1.1"" 200 332 27 ""https://abc.example.com//myrights/c"" ""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""POST /timesheet/ServiceGateway/service HTTP/1.1"" 200 124 38 ""https://abc.example.com//TimesheetApproval?"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""POST /leaverest/rest/lwpBatch HTTP/1.1"" 200 25 297 ""https://abc.example.com//index.html?cd=1769567770991"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/appResources/img/HisIcon.png HTTP/1.1"" 200 2051 15 ""https://abc.example.com//index.html?cd=1769567987084"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/extResources/angular/i18n/angular-locale_en.js HTTP/1.1"" 200 962 18 ""https://abc.example.com//index.html?cd=1769567994918"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/appResources/img/Sick2_NS.png HTTP/1.1"" 200 2275 8 ""https://abc.example.com//index.html?cd=1769567988460"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leaverest/rest/getI18n?locale=en& HTTP/1.1"" 200 893 53 ""https://abc.example.com//index.html?cd=1769567994918"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/appResources/img/Sick1_NS.png HTTP/1.1"" 200 2876 9 ""https://abc.example.com//index.html?cd=1769567988460"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/appResources/img/Sick6_NS.png HTTP/1.1"" 200 4071 9 ""https://abc.example.com//index.html?cd=1769567988460"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/pages/leave/balanceReport_Home.html?cd=1769567999557 HTTP/1.1"" 200 1421 19 ""https://abc.example.com//index.html?cd=1769567994918"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/appResources/css/footer.css HTTP/1.1"" 200 845 17 ""https://abc.example.com//index.html?cd=1769567994918"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leaverest/rest/menus/?cd=1769567999570 HTTP/1.1"" 200 6230 160 ""https://abc.example.com//index.html?cd=1769567994918"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<182>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 - - [28/Jan/2026:08:09:59 +0530] ""GET /login/css/Modified/bootstrap.css HTTP/1.1"" 200 80 36510"
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 - - [28/Jan/2026:08:09:59 +0530] ""GET /login/css/Modified/bootstrap.css HTTP/1.1"" 200 36510 1064 0 ""-"" ""SPS 12.5 0 0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 - - [28/Jan/2026:08:09:59 +0530] ""GET /login/img/Modified/hide_username.svg HTTP/1.1"" 304 - 670 0 ""https://abc.example.com//login?TYPE=33554432&REALMOID=06-4851731e-c332-41ff-8e7f-67ac1b92afdd&GUID=&SMAUTHREASON=0&METHOD=POST&SMAGENTNAME=-SM-6VPofsZ5c9apq2J9KuJLfAKpqhebVghTK7YbtC7eX1Zk5pA8CezlauHd4OvTs6eWpTaCXfaNG5Dw3ab4U+VoB2Esek/Ot1KZ&TARGET=-SM-https%3A%2F%2Ftimesheet.company.net%2Ftimesheet%2Fjsp%2Flogout%2Fsession_timeout.jsp"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /companyWidgets/js/helperWidget.js HTTP/1.1"" 200 18284 16 ""https://smartsales.company.net/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<182>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 - - [28/Jan/2026:08:09:59 +0530] ""GET /logout/css/ssopopup.css HTTP/1.1"" 200 80 19179"
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /timesheet/ HTTP/1.1"" 200 889 7 ""https://www.company.net/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /myallocdetails/ HTTP/1.1"" 200 578 98 ""https://www.company.net/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /myallocdetails/extResources/jquery/jquery-latest.pack.js HTTP/1.1"" 200 31803 133 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:10:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /myallocdetails/styles.css HTTP/1.1"" 200 77299 111 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /timesheet/resources/css/modules/timesheet/ui.timesheetTaskDetails.css HTTP/1.1"" 200 1629 7 ""https://abc.example.com//Login/bridge?"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /timesheet/resources/lib/js/jquery.min.js HTTP/1.1"" 200 30353 12 ""https://abc.example.com//Login/bridge?"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /timesheet/resources/lib/js/angular-route.min.js HTTP/1.1"" 200 1834 9 ""https://abc.example.com//Login/bridge?"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /timesheet/resources/lib/js/bootstrap-datepicker.js HTTP/1.1"" 200 12154 9 ""https://abc.example.com//Login/bridge?"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:10:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:10:00 +0530] ""GET /timesheet/resources/lib/js/json2.js HTTP/1.1"" 200 5524 11 ""https://abc.example.com//Login/bridge?"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /timesheet/resources/lib/css/bootstrap.min.css HTTP/1.1"" 200 20823 14 ""https://abc.example.com//Login/bridge?"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/appResources/css/jquery-ui-1.8.16.css HTTP/1.1"" 200 3417 22 ""https://abc.example.com//index.html?cd=1769567994703"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/appResources/css/gessLevCmn.css HTTP/1.1"" 200 1732 21 ""https://abc.example.com//index.html?cd=1769567994703"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/extResources/bootstrap-3.4.1/css/bootstrap.min.css HTTP/1.1"" 200 20054 34 ""https://abc.example.com//index.html?cd=1769567994703"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/appResources/js/requireMain.js HTTP/1.1"" 200 1849 13 ""https://abc.example.com//index.html?cd=1769567989879"" ""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"""
"<150>Jan 28 08:10:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:10:00 +0530] ""GET /leave/appResources/img/processing.gif HTTP/1.1"" 200 1359 6 ""https://abc.example.com//index.html?cd=1769567994703"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:10:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leave/extResources/html2canvas/html2canvas.min.js HTTP/1.1"" 200 20001 16 ""https://abc.example.com//index.html?cd=1769567994703"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /ea_portal/ HTTP/1.1"" 302 - 1 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"""
"<182>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 - - [28/Jan/2026:08:09:59 +0530] ""GET /login/css/Modified/bootstrap.css HTTP/1.1"" 200 80 36510"
"<182>Jan 28 08:10:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 - - [28/Jan/2026:08:10:00 +0530] ""GET /logout/css/ssopopup.css HTTP/1.1"" 200 80 19179"
"<150>Jan 28 08:10:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:10:00 +0530] ""GET /timesheet/Login/goBackToTSApproval?menuID=2 HTTP/1.1"" 200 11069 14 ""https://abc.example.com//goToTimesheet"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /pAccounting/appResources/images/sprited/sprited_final.png HTTP/1.1"" 200 14183 6 ""https://abc.example.com//appResources/css_min/common_PA.css?v=18350"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /ievolve/common/appdetails.json HTTP/1.1"" 200 142 15 ""https://abc.example.com//declareCompetency/declarePrimSec"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""POST /ScormEngineInterface/lrs/activities/state?method=PUT HTTP/1.1"" 204 - 38 ""https://ievolvecontent.company.net/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /ievolve/common/appdetails.json HTTP/1.1"" 200 142 20 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /ievolve/assets/TCS_White_logo.png HTTP/1.1"" 200 197186 20 ""https://abc.example.com//"" ""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36"""
"<150>Jan 28 08:10:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""POST /ScormEngineInterface/lrs/statements?method=PUT HTTP/1.1"" 204 - 167 ""https://ievolvecontent.company.net/"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leader/assets/videos/Xcelerate_How_to_Share_Aspired_Role_V2.mp4 HTTP/1.1"" 206 64141497 772 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leader/assets/videos/Induction_Xcelerate_Video.mp4 HTTP/1.1"" 206 74872016 862 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leader/rest/get-visible-stone HTTP/1.1"" 200 129 11 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:09:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leader/rest/get-competency-rank HTTP/1.1"" 200 65 334 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:10:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:09:59 +0530] ""GET /leader/assets/images/gamification-stone/img-mini-stone.gif HTTP/1.1"" 200 126351 15 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
